,name,Position,Salary
0,Stephen Strasburg, Starting Pitcher,"$38,333,334"
1,Max Scherzer, Starting Pitcher,"$37,405,562"
2,Zack Greinke, Starting Pitcher,"$34,500,000"
3,Mike Trout, Center Field,"$34,083,333"
4,Clayton Kershaw, Starting Pitcher,"$31,000,000"
5,David Price, Starting Pitcher,"$31,000,000"
6,Miguel Cabrera, 1st Base,"$30,000,000"
7,Yoenis Cespedes, Center Field,"$29,000,000"
8,Justin Verlander, Starting Pitcher,"$28,000,000"
9,Albert Pujols, 1st Base,"$28,000,000"
10,Felix Hernandez, Starting Pitcher,"$27,857,142"
11,Jon Lester, Starting Pitcher,"$27,500,000"
12,Nolan Arenado, 3rd Base,"$26,000,000"
13,Giancarlo Stanton, Designated Hitter,"$26,000,000"
14,Jordan Zimmermann, Starting Pitcher,"$25,000,000"
15,Joey Votto, 1st Base,"$25,000,000"
16,Jake Arrieta, Starting Pitcher,"$25,000,000"
17,Robinson Cano, 2nd Base,"$24,000,000"
18,J.D. Martinez, Designated Hitter,"$23,750,000"
19,Josh Donaldson, 3rd Base,"$23,000,000"
20,Jason Heyward, Right Field,"$22,500,000"
21,Buster Posey, Catcher,"$22,177,777"
22,Masahiro Tanaka, Starting Pitcher,"$22,000,000"
23,Edwin Encarnacion, Designated Hitter,"$21,666,668"
24,Matt Kemp, Left Field,"$21,500,000"
25,Freddie Freeman, 1st Base,"$21,359,375"
26,Charlie Blackmon, Right Field,"$21,333,333"
27,Jacoby Ellsbury, Center Field,"$21,142,857"
28,Rick Porcello, Starting Pitcher,"$21,125,000"
29,Chris Davis, 1st Base,"$21,118,782"
30,Eric Hosmer, 1st Base,"$21,000,000"
31,Shin-Soo Choo, Designated Hitter,"$21,000,000"
32,Johnny Cueto, Starting Pitcher,"$21,000,000"
33,Carlos Santana, Designated Hitter,"$20,333,333"
34,Russell Martin, Catcher,"$20,000,000"
35,Yu Darvish, Starting Pitcher,"$20,000,000"
36,Cole Hamels, Starting Pitcher,"$20,000,000"
37,Wei-Yin Chen, Starting Pitcher,"$20,000,000"
38,Alex Gordon, Left Field,"$20,000,000"
39,Yadier Molina, Catcher,"$20,000,000"
40,Mookie Betts, Right Field,"$20,000,000"
41,Jeff Samardzija, Starting Pitcher,"$19,800,000"
42,Kyle Seager, 3rd Base,"$19,500,000"
43,Kenley Jansen, Relief Pitcher,"$19,333,334"
44,Justin Turner, 3rd Base,"$19,000,000"
45,Mark Melancon, Relief Pitcher,"$19,000,000"
46,Ryan Braun, Left Field,"$19,000,000"
47,Anthony Rendon, 3rd Base,"$18,800,000"
48,Rich Hill, Starting Pitcher,"$18,666,668"
49,Wade Davis, Relief Pitcher,"$18,000,000"
50,Ryan Zimmerman, 1st Base,"$18,000,000"
51,Justin Upton, Left Field,"$18,000,000"
52,Hyun-Jin Ryu, Starting Pitcher,"$17,900,000"
53,Aroldis Chapman, Relief Pitcher,"$17,200,000"
54,Brandon Belt, 1st Base,"$17,200,000"
55,Corey Kluber, Starting Pitcher,"$17,200,000"
56,Jacob deGrom, Starting Pitcher,"$17,000,000"
57,J.A. Happ, Starting Pitcher,"$17,000,000"
58,Nathan Eovaldi, Starting Pitcher,"$17,000,000"
59,Khris Davis, Designated Hitter,"$16,500,000"
60,Ian Kennedy, Starting Pitcher,"$16,500,000"
61,Dexter Fowler, Center Field,"$16,500,000"
62,Jose Abreu, Designated Hitter,"$16,000,000"
63,Michael Brantley, Left Field,"$16,000,000"
64,Yasmani Grandal, Catcher,"$16,000,000"
65,Mike Leake, Starting Pitcher,"$16,000,000"
66,Yasmany Tomas, Left Field,"$15,500,000"
67,Paul Goldschmidt, 1st Base,"$15,500,000"
68,Elvis Andrus, Shortstop,"$15,250,000"
69,Danny Duffy, Starting Pitcher,"$15,250,000"
70,Brandon Crawford, Shortstop,"$15,200,000"
71,Dustin Pedroia, 2nd Base,"$15,125,000"
72,Charlie Morton, Starting Pitcher,"$15,000,000"
73,Ian Desmond, Center Field,"$15,000,000"
74,Martin Prado, 1st Base,"$15,000,000"
75,Chris Sale, Starting Pitcher,"$15,000,000"
76,Jean Segura, Shortstop,"$14,950,000"
77,Matt Carpenter, 1st Base,"$14,750,000"
78,Jason Kipnis, 2nd Base,"$14,666,668"
79,Evan Longoria, 3rd Base,"$14,500,000"
80,Lorenzo Cain, Center Field,"$14,000,000"
81,Jay Bruce, Right Field,"$14,000,000"
82,Alex Cobb, Starting Pitcher,"$14,000,000"
83,Nelson Cruz, Designated Hitter,"$14,000,000"
84,Gerrit Cole, Starting Pitcher,"$13,500,000"
85,Mark Trumbo, Designated Hitter,"$13,500,000"
86,Dee Gordon, 2nd Base,"$13,300,000"
87,Zack Britton, Relief Pitcher,"$13,000,000"
88,Josh Reddick, Right Field,"$13,000,000"
89,Trevor Bauer, Starting Pitcher,"$13,000,000"
90,Andrelton Simmons, Shortstop,"$13,000,000"
91,Jedd Gyorko, 3rd Base,"$13,000,000"
92,Patrick Corbin, Starting Pitcher,"$12,916,666"
93,Kris Bryant, 3rd Base,"$12,900,000"
94,Zack Cozart, 3rd Base,"$12,666,666"
95,Ben Zobrist, 2nd Base,"$12,500,000"
96,Tyler Chatwood, Starting Pitcher,"$12,500,000"
97,Marcell Ozuna, Left Field,"$12,250,000"
98,Manny Machado, 3rd Base,"$12,000,000"
99,D.J. LeMahieu, 2nd Base,"$12,000,000"
