,Player,Position,YRS,AVG Salary,Dollars
0,Manny Machado,3B,10.0,"$30,000,000","$300,000,000"
1,Patrick Corbin,SP,6.0,"$23,333,333","$140,000,000"
2,Nathan Eovaldi,SP,4.0,"$17,000,000","$68,000,000"
3,A.J. Pollock,CF,5.0,"$12,000,000","$60,000,000"
4,Andrew McCutchen,RF,3.0,"$16,666,667","$50,000,000"
5,Zack Britton,RP,3.0,"$13,000,000","$39,000,000"
6,J.A. Happ,SP,2.0,"$17,000,000","$34,000,000"
7,Michael Brantley,LF,2.0,"$16,000,000","$32,000,000"
8,Jeurys Familia,RP,3.0,"$10,000,000","$30,000,000"
9,Charlie Morton,SP,2.0,"$15,000,000","$30,000,000"
10,Lance Lynn,SP,3.0,"$10,000,000","$30,000,000"
11,Adam Ottavino,RP,3.0,"$9,000,000","$27,000,000"
12,Andrew Miller,RP,2.0,"$12,500,000","$25,000,000"
13,Joe Kelly,RP,3.0,"$8,333,333","$25,000,000"
14,D.J. LeMahieu,2B,2.0,"$12,000,000","$24,000,000"
15,Daniel Murphy,1B,2.0,"$12,000,000","$24,000,000"
16,David Robertson,RP,2.0,"$11,500,000","$23,000,000"
17,Josh Donaldson,3B,1.0,"$23,000,000","$23,000,000"
18,Marwin Gonzalez,LF,2.0,"$10,500,000","$21,000,000"
19,Jed Lowrie,2B,2.0,"$10,000,000","$20,000,000"
20,Anibal Sanchez,SP,2.0,"$9,500,000","$19,000,000"
21,Wilson Ramos,C,2.0,"$9,500,000","$19,000,000"
22,Yasmani Grandal,C,1.0,"$18,250,000","$18,250,000"
23,Kelvin Herrera,RP,2.0,"$9,000,000","$18,000,000"
24,Garrett Richards,SP,2.0,"$7,750,000","$15,500,000"
25,Joakim Soria,RP,2.0,"$7,500,000","$15,000,000"
26,Nelson Cruz,DH,1.0,"$14,300,000","$14,300,000"
27,Michael Fiers,SP,2.0,"$7,050,000","$14,100,000"
28,Matt Harvey,SP,1.0,"$11,000,000","$11,000,000"
29,Mike Moustakas,3B,1.0,"$10,000,000","$10,000,000"
30,Justin Wilson,RP,2.0,"$5,000,000","$10,000,000"
31,Kurt Suzuki,C,2.0,"$5,000,000","$10,000,000"
32,Brian Dozier,2B,1.0,"$9,000,000","$9,000,000"
33,Trevor Cahill,SP,1.0,"$9,000,000","$9,000,000"
34,Cody Allen,RP,1.0,"$8,500,000","$8,500,000"
35,Ian Kinsler,2B,2.0,"$4,000,000","$8,000,000"
36,Jesse Chavez,RP,2.0,"$4,000,000","$8,000,000"
37,Jonathan Schoop,2B,1.0,"$7,500,000","$7,500,000"
38,Derek Holland,RP,1.0,"$7,000,000","$7,000,000"
39,Nick Markakis,RF,1.0,"$6,000,000","$6,000,000"
40,Tyson Ross,SP,1.0,"$5,750,000","$5,750,000"
41,Robinson Chirinos,C,1.0,"$5,750,000","$5,750,000"
42,Jordy Mercer,SS,1.0,"$5,250,000","$5,250,000"
43,Billy Hamilton,CF,1.0,"$5,250,000","$5,250,000"
44,Freddy Galvis,SS,1.0,"$5,000,000","$5,000,000"
45,Daniel Descalso,2B,2.0,"$2,500,000","$5,000,000"
46,Wade Miley,SP,1.0,"$4,500,000","$4,500,000"
47,Brad Brach,RP,1.0,"$4,350,000","$4,350,000"
48,Ervin Santana (minor),SP,1.0,"$4,300,000","$4,300,000"
49,Wilmer Flores,2B,1.0,"$4,250,000","$4,250,000"
50,Marco Estrada,SP,1.0,"$4,000,000","$4,000,000"
51,Martin Perez,SP,1.0,"$4,000,000","$4,000,000"
52,Jon Jay,RF,1.0,"$4,000,000","$4,000,000"
53,Matt Adams,1B,1.0,"$4,000,000","$4,000,000"
54,Asdrubal Cabrera,2B,1.0,"$3,500,000","$3,500,000"
55,Avisail Garcia,RF,1.0,"$3,500,000","$3,500,000"
56,Matt Shoemaker,SP,1.0,"$3,500,000","$3,500,000"
57,Jonathan Lucroy,C,1.0,"$3,350,000","$3,350,000"
58,Greg Holland,RP,1.0,"$3,250,000","$3,250,000"
59,Adeiny Hechavarria (minor),SS,1.0,"$3,000,000","$3,000,000"
